#Motion Sensor Data File Sep 25, 2017 5:44 PM
#Time (s)	Distance (cm)	Dist Error (cm)
#0.000	17.771	0.239
23.160	21.780	0.239
23.170	21.632	0.239
23.180	21.339	0.239
23.190	20.942	0.239
23.200	20.382	0.239
23.210	20.067	0.239
23.220	20.023	0.239
23.230	19.536	0.239
23.240	19.234	0.239
23.250	19.065	0.239
23.260	19.060	0.239
23.270	18.749	0.239
23.280	18.920	0.239
23.290	18.295	0.239
23.300	18.500	0.239
23.310	18.495	0.239
23.320	18.477	0.239
23.330	18.523	0.239
23.340	18.719	0.239
23.350	18.791	0.239
23.360	18.923	0.239
23.370	19.111	0.239
23.380	19.570	0.239
23.390	19.543	0.239
23.400	20.118	0.239
23.410	20.130	0.239
23.420	20.585	0.239
23.430	21.048	0.239
23.440	21.390	0.239
23.450	21.742	0.239
23.460	22.132	0.239
23.470	22.514	0.239
23.480	22.899	0.239
23.490	23.225	0.239
23.500	23.653	0.239
23.510	24.031	0.239
23.520	24.430	0.239
23.530	24.854	0.239
23.540	25.214	0.239
23.550	25.561	0.239
23.560	25.878	0.239
23.570	26.182	0.239
23.580	26.456	0.239
23.590	26.704	0.239
23.600	26.970	0.239
23.610	27.192	0.239
23.620	27.329	0.239
23.630	27.517	0.239
23.640	27.614	0.239
23.650	27.712	0.239
23.660	27.771	0.239
23.670	27.791	0.239
23.680	27.773	0.239
23.690	27.712	0.239
23.700	27.633	0.239
23.710	27.542	0.239
23.720	27.364	0.239
23.730	27.234	0.239
23.740	26.988	0.239
23.750	26.802	0.239
23.760	26.551	0.239
23.770	26.284	0.239
23.780	25.973	0.239
23.790	25.615	0.239
23.800	25.266	0.239
23.810	24.925	0.239
23.820	24.575	0.239
23.830	24.183	0.239
23.840	23.778	0.239
23.850	23.407	0.239
23.860	22.989	0.239
23.870	22.618	0.239
23.880	22.256	0.239
23.890	21.867	0.239
23.900	21.458	0.239
23.910	20.893	0.239
23.920	20.561	0.239
23.930	20.259	0.239
23.940	20.103	0.239
23.950	19.711	0.239
23.960	19.430	0.239
23.970	19.472	0.239
23.980	19.045	0.239
23.990	18.842	0.239
24.000	18.746	0.239
24.010	18.659	0.239
24.020	18.512	0.239
24.030	18.558	0.239
24.040	18.539	0.239
24.050	18.581	0.239
24.060	18.941	0.239
24.070	18.777	0.239
24.080	18.879	0.239
24.090	19.067	0.239
24.100	19.538	0.239
24.110	19.473	0.239
24.120	19.837	0.239
24.130	20.068	0.239
24.140	20.252	0.239
24.150	20.861	0.239
24.160	21.217	0.239
24.170	21.607	0.239
24.180	21.941	0.239
24.190	22.292	0.239
24.200	22.674	0.239
24.210	23.073	0.239
24.220	23.429	0.239
24.230	23.801	0.239
24.240	24.230	0.239
24.250	24.607	0.239
24.260	24.967	0.239
24.270	25.315	0.239
24.280	25.662	0.239
24.290	25.978	0.239
24.300	26.261	0.239
24.310	26.535	0.239
24.320	26.788	0.239
24.330	26.989	0.239
24.340	27.207	0.239
24.350	27.369	0.239
24.360	27.510	0.239
24.370	27.616	0.239
24.380	27.580	0.239
24.390	27.747	0.239
24.400	27.754	0.239
24.410	27.714	0.239
24.420	27.653	0.239
24.430	27.579	0.239
24.440	27.457	0.239
24.450	27.306	0.239
24.460	27.098	0.239
24.470	26.921	0.239
24.480	26.636	0.239
24.490	26.390	0.239
24.500	26.135	0.239
24.510	25.846	0.239
24.520	25.487	0.239
24.530	25.121	0.239
24.540	24.746	0.239
24.550	24.366	0.239
24.560	24.000	0.239
24.570	23.625	0.239
24.580	23.262	0.239
24.590	22.908	0.239
24.600	22.512	0.239
24.610	22.106	0.239
24.620	21.512	0.239
24.630	21.145	0.239
24.640	21.028	0.239
24.650	20.717	0.239
24.660	20.192	0.239
24.670	19.885	0.239
24.680	19.630	0.239
24.690	19.393	0.239
24.700	19.194	0.239
24.710	18.987	0.239
24.720	18.800	0.239
24.730	18.756	0.239
24.740	18.639	0.239
24.750	18.578	0.239
24.760	18.602	0.239
24.770	18.597	0.239
24.780	18.660	0.239
24.790	18.745	0.239
24.800	18.822	0.239
24.810	18.988	0.239
24.820	19.133	0.239
24.830	19.359	0.239
24.840	19.573	0.239
24.850	19.929	0.239
24.860	20.139	0.239
24.870	20.533	0.239
24.880	20.798	0.239
24.890	21.102	0.239
24.900	21.432	0.239
24.910	21.792	0.239
24.920	22.410	0.239
24.930	22.835	0.239
24.940	23.242	0.239
24.950	23.615	0.239
24.960	23.958	0.239
24.970	24.322	0.239
24.980	24.691	0.239
24.990	25.055	0.239
25.000	25.428	0.239
25.010	25.762	0.239
25.020	26.045	0.239
25.030	26.344	0.239
25.040	26.627	0.239
25.050	26.866	0.239
25.060	27.046	0.239
25.070	27.260	0.239
25.080	27.190	0.239
25.090	27.541	0.239
25.100	27.613	0.239
25.110	27.672	0.239
25.120	27.671	0.239
25.130	27.636	0.239
25.140	27.561	0.239
25.150	27.586	0.239
25.160	27.490	0.239
25.170	27.141	0.239
25.180	27.204	0.239
25.190	26.971	0.239
25.200	26.789	0.239
25.210	26.543	0.239
25.220	26.275	0.239
25.230	25.951	0.239
25.240	25.624	0.239
25.250	25.296	0.239
25.260	24.968	0.239
25.270	24.631	0.239
25.280	24.273	0.239
25.290	23.885	0.239
25.300	23.467	0.239
25.310	23.062	0.239
25.320	22.489	0.239
25.330	22.316	0.239
25.340	21.958	0.239
25.350	21.634	0.239
25.360	21.254	0.239
25.370	20.905	0.239
25.380	20.362	0.239
25.390	20.077	0.239
25.400	20.098	0.239
25.410	19.568	0.239
25.420	19.584	0.239
25.430	19.178	0.239
25.440	18.928	0.239
25.450	18.832	0.239
25.460	18.741	0.239
25.470	18.942	0.239
25.480	18.614	0.239
25.490	18.367	0.239
25.500	18.383	0.239
25.510	18.709	0.239
25.520	18.837	0.239
25.530	18.917	0.239
25.540	19.118	0.239
25.550	19.255	0.239
25.560	19.499	0.239
25.570	19.712	0.239
25.580	20.309	0.239
25.590	20.282	0.239
25.600	20.625	0.239
25.610	21.204	0.239
25.620	21.603	0.239
25.630	21.963	0.239
25.640	22.284	0.239
25.650	22.614	0.239
25.660	23.013	0.239
25.670	23.433	0.239
25.680	23.788	0.239
25.690	24.148	0.239
25.700	24.551	0.239
25.710	24.907	0.239
25.720	25.246	0.239
25.730	25.571	0.239
25.740	25.892	0.239
25.750	26.179	0.239
25.760	26.406	0.239
25.770	26.654	0.239
25.780	26.946	0.239
25.790	27.142	0.239
25.800	27.262	0.239
25.810	27.432	0.239
25.820	27.538	0.239
25.830	27.615	0.239
25.840	27.635	0.239
25.850	27.643	0.239
25.860	27.624	0.239
25.870	27.593	0.239
25.880	27.514	0.239
25.890	27.169	0.239
25.900	27.246	0.239
25.910	27.042	0.239
25.920	26.861	0.239
25.930	26.627	0.239
25.940	26.351	0.239
25.950	26.079	0.239
25.960	25.811	0.239
25.970	25.496	0.239
25.980	25.173	0.239
25.990	24.806	0.239
26.000	24.409	0.239
26.010	24.047	0.239
26.020	23.693	0.239
26.030	23.297	0.239
26.040	22.926	0.239
26.050	22.533	0.239
26.060	22.145	0.239
26.070	21.589	0.239
26.080	21.202	0.239
26.090	20.865	0.239
26.100	20.554	0.239
26.110	20.265	0.239
26.120	19.997	0.239
26.130	19.725	0.239
26.140	19.475	0.239
26.150	19.297	0.239
26.160	19.129	0.239
26.170	19.209	0.239
26.180	18.843	0.239
26.190	18.764	0.239
26.200	18.728	0.239
26.210	18.659	0.239
26.220	18.700	0.239
26.230	18.742	0.239
26.240	18.809	0.239
26.250	18.890	0.239
26.260	19.074	0.239
26.270	19.473	0.239
26.280	19.445	0.239
26.290	19.698	0.239
26.300	19.916	0.239
26.310	20.418	0.239
26.320	20.460	0.239
26.330	21.013	0.239
26.340	21.386	0.239
26.350	21.712	0.239
26.360	22.063	0.239
26.370	22.397	0.239
26.380	22.770	0.239
26.390	23.156	0.239
26.400	23.533	0.239
26.410	23.919	0.239
26.420	24.318	0.239
26.430	24.682	0.239
26.440	25.042	0.239
26.450	25.381	0.239
26.460	25.702	0.239
26.470	26.002	0.239
26.480	26.267	0.239
26.490	26.524	0.239
26.500	26.751	0.239
26.510	26.934	0.239
26.520	27.139	0.239
26.530	27.293	0.239
26.540	27.180	0.239
26.550	27.506	0.239
26.560	27.569	0.239
26.570	27.598	0.239
26.580	27.593	0.239
26.590	27.557	0.239
26.600	27.492	0.239
26.610	27.374	0.239
26.620	27.274	0.239
26.630	27.105	0.239
26.640	26.928	0.239
26.650	26.497	0.239
26.660	26.470	0.239
26.670	26.219	0.239
26.680	25.896	0.239
26.690	25.632	0.239
26.700	25.309	0.239
26.710	24.985	0.239
26.720	24.636	0.239
26.730	24.286	0.239
26.740	23.928	0.239
26.750	23.549	0.239
26.760	23.174	0.239
26.770	22.790	0.239
26.780	22.380	0.239
26.790	21.790	0.239
26.800	21.509	0.239
26.810	21.125	0.239
26.820	20.794	0.239
26.830	20.440	0.239
26.840	20.133	0.239
26.850	19.917	0.239
26.860	19.688	0.239
26.870	19.494	0.239
26.880	19.217	0.239
26.890	19.074	0.239
26.900	18.901	0.239
26.910	18.831	0.239
26.920	18.804	0.239
26.930	18.773	0.239
26.940	18.742	0.239
26.950	18.758	0.239
26.960	18.795	0.239
26.970	18.871	0.239
26.980	19.064	0.239
26.990	19.480	0.239
27.000	19.337	0.239
27.010	19.585	0.239
27.020	20.001	0.239
27.030	20.056	0.239
27.040	20.351	0.239
27.050	20.655	0.239
27.060	21.187	0.239
27.070	21.543	0.239
27.080	21.899	0.239
27.090	22.233	0.239
27.100	22.563	0.239
27.110	22.940	0.239
27.120	23.321	0.239
27.130	23.690	0.239
27.140	24.046	0.239
27.150	24.397	0.239
27.160	24.783	0.239
27.170	25.143	0.239
27.180	25.481	0.239
27.190	25.768	0.239
27.200	26.033	0.239
27.210	26.329	0.239
27.220	26.573	0.239
27.230	26.769	0.239
27.240	26.983	0.239
27.250	27.150	0.239
27.260	27.286	0.239
27.270	27.384	0.239
27.280	27.473	0.239
27.290	27.532	0.239
27.300	27.544	0.239
27.310	27.530	0.239
27.320	27.486	0.239
27.330	27.381	0.239
27.340	27.299	0.239
27.350	27.155	0.239
27.360	26.965	0.239
27.370	26.796	0.239
27.380	26.563	0.239
27.390	26.330	0.239
27.400	26.040	0.239
27.410	25.772	0.239
27.420	25.488	0.239
27.430	25.164	0.239
27.440	24.823	0.239
27.450	24.435	0.239
27.460	24.065	0.239
27.470	23.698	0.239
27.480	23.331	0.239
27.490	22.960	0.239
27.500	22.611	0.239
27.510	22.292	0.239
27.520	21.964	0.239
27.530	21.614	0.239
27.540	21.230	0.239
27.550	20.696	0.239
27.560	20.373	0.239
27.570	20.118	0.239
27.580	20.082	0.239
27.590	19.591	0.239
27.600	19.388	0.239
27.610	19.498	0.239
27.620	19.097	0.239
27.630	19.200	0.239
27.640	18.824	0.239
27.650	18.836	0.239
27.660	18.822	0.239
27.670	18.791	0.239
27.680	18.806	0.239
27.690	18.939	0.239
27.700	19.200	0.239
27.710	19.349	0.239
27.720	19.236	0.239
27.730	19.489	0.239
27.740	19.651	0.239
27.750	20.213	0.239
27.760	20.164	0.239
27.770	20.770	0.239
27.780	20.769	0.239
27.790	21.085	0.239
27.800	21.656	0.239
27.810	21.831	0.239
27.820	22.170	0.239
27.830	22.633	0.239
27.840	23.105	0.239
27.850	23.495	0.239
27.860	23.876	0.239
27.870	24.236	0.239
27.880	24.592	0.239
27.890	24.939	0.239
27.900	25.265	0.239
27.910	25.564	0.239
27.920	25.860	0.239
27.930	26.143	0.239
27.940	26.404	0.239
27.950	26.609	0.239
27.960	26.835	0.239
27.970	27.028	0.239
27.980	27.182	0.239
27.990	27.064	0.239
28.000	27.373	0.239
28.010	27.471	0.239
28.020	27.508	0.239
28.030	27.507	0.239
28.040	27.480	0.239
28.050	27.419	0.239
28.060	27.125	0.239
28.070	27.231	0.239
28.080	27.080	0.239
28.090	26.902	0.239
28.100	26.648	0.239
28.110	26.466	0.239
28.120	26.211	0.239
28.130	25.909	0.239
28.140	25.658	0.239
28.150	25.352	0.239
28.160	25.020	0.239
28.170	24.666	0.239
28.180	24.321	0.239
28.190	23.976	0.239
28.200	23.613	0.239
28.210	23.234	0.239
28.220	22.885	0.239
28.230	22.522	0.239
28.240	22.147	0.239
28.250	21.759	0.239
28.260	21.401	0.239
28.270	21.116	0.239
28.280	20.822	0.239
28.290	20.533	0.239
28.300	20.025	0.239
28.310	19.805	0.239
28.320	19.575	0.239
28.330	19.424	0.239
28.340	19.397	0.239
28.350	19.099	0.239
28.360	18.995	0.239
28.370	18.852	0.239
28.380	18.846	0.239
28.390	18.824	0.239
28.400	18.831	0.239
28.410	18.898	0.239
28.420	19.018	0.239
28.430	19.094	0.239
28.440	19.299	0.239
28.450	19.427	0.239
28.460	19.851	0.239
28.470	20.040	0.239
28.480	20.073	0.239
28.490	20.334	0.239
28.500	20.849	0.239
28.510	21.170	0.239
28.520	21.332	0.239
28.530	21.817	0.239
28.540	22.185	0.239
28.550	22.528	0.239
28.560	22.871	0.239
28.570	23.235	0.239
28.580	23.634	0.239
28.590	23.981	0.239
28.600	24.337	0.239
28.610	24.679	0.239
28.620	25.018	0.239
28.630	25.357	0.239
28.640	25.678	0.239
28.650	25.982	0.239
28.660	26.239	0.239
28.670	26.453	0.239
28.680	26.658	0.239
28.690	26.902	0.239
28.700	27.047	0.239
28.710	27.213	0.239
28.720	27.324	0.239
28.730	27.151	0.239
28.740	27.437	0.239
28.750	27.475	0.239
28.760	27.465	0.239
28.770	27.400	0.239
28.780	27.300	0.239
28.790	27.243	0.239
28.800	27.104	0.239
28.810	26.939	0.239
28.820	26.762	0.239
28.830	26.555	0.239
28.840	26.313	0.239
28.850	26.006	0.239
28.860	25.794	0.239
28.870	25.492	0.239
28.880	25.126	0.239
28.890	24.785	0.239
28.900	24.440	0.239
28.910	24.086	0.239
28.920	23.719	0.239
28.930	23.361	0.239
28.940	22.999	0.239
28.950	22.667	0.239
28.960	22.292	0.239
28.970	21.955	0.239
28.980	21.653	0.239
28.990	21.377	0.239
29.000	21.066	0.239
29.010	20.712	0.239
29.020	20.144	0.239
29.030	20.181	0.239
29.040	19.664	0.239
29.050	19.805	0.239
29.060	19.378	0.239
29.070	19.467	0.239
29.080	19.088	0.239
29.090	19.237	0.239
29.100	18.883	0.239
29.110	18.818	0.239
29.120	18.860	0.239
29.130	18.897	0.239
29.140	18.922	0.239
29.150	19.067	0.239
29.160	19.139	0.239
29.170	19.611	0.239
29.180	19.837	0.239
29.190	19.771	0.239
29.200	20.265	0.239
29.210	20.221	0.239
29.220	20.791	0.239
29.230	20.803	0.239
29.240	21.094	0.239
29.250	21.665	0.239
29.260	22.025	0.239
29.270	22.346	0.239
29.280	22.702	0.239
29.290	23.045	0.239
29.300	23.426	0.239
29.310	23.778	0.239
29.320	24.155	0.239
29.330	24.536	0.239
29.340	24.883	0.239
29.350	25.209	0.239
29.360	25.509	0.239
29.370	25.766	0.239
29.380	26.014	0.239
29.390	26.309	0.239
29.400	26.558	0.239
29.410	26.746	0.239
29.420	26.921	0.239
29.430	27.087	0.239
29.440	27.224	0.239
29.450	27.317	0.239
29.460	27.135	0.239
29.470	27.379	0.239
29.480	27.421	0.239
29.490	27.377	0.239
29.500	27.324	0.239
29.510	27.250	0.239
29.520	27.128	0.239
29.530	26.835	0.239
29.540	26.821	0.239
29.550	26.592	0.239
29.560	26.402	0.239
29.570	26.129	0.239
29.580	25.892	0.239
29.590	25.581	0.239
29.600	25.279	0.239
29.610	24.955	0.239
29.620	24.619	0.239
29.630	24.278	0.239
29.640	23.937	0.239
29.650	23.575	0.239
29.660	23.226	0.239
29.670	22.863	0.239
29.680	22.484	0.239
29.690	21.975	0.239
29.700	21.639	0.239
29.710	21.251	0.239
29.720	20.957	0.239
29.730	20.883	0.239
29.740	20.589	0.239
29.750	20.107	0.239
29.760	19.934	0.239
29.770	19.640	0.239
29.780	19.454	0.239
29.790	19.319	0.239
29.800	19.138	0.239
29.810	19.068	0.239
29.820	18.985	0.239
29.830	18.915	0.239
29.840	18.948	0.239
29.850	18.977	0.239
29.860	19.041	0.239
29.870	19.083	0.239
29.880	19.232	0.239
29.890	19.282	0.239
29.900	19.457	0.239
29.910	19.663	0.239
29.920	19.863	0.239
29.930	20.378	0.239
29.940	20.407	0.239
29.950	20.905	0.239
29.960	20.977	0.239
29.970	21.586	0.239
29.980	21.924	0.239
29.990	22.237	0.239
30.000	22.554	0.239
30.010	22.888	0.239
30.020	23.248	0.239
30.030	23.643	0.239
30.040	23.999	0.239
30.050	24.341	0.239
30.060	24.680	0.239
30.070	25.001	0.239
30.080	25.331	0.239
30.090	25.627	0.239
30.100	25.909	0.239
30.110	26.153	0.239
30.120	26.362	0.239
30.130	26.576	0.239
30.140	26.786	0.239
30.150	26.957	0.239
30.160	26.857	0.239
30.170	27.204	0.239
30.180	27.267	0.239
30.190	27.313	0.239
30.200	27.368	0.239
30.210	27.358	0.239
30.220	27.314	0.239
30.230	27.244	0.239
30.240	27.144	0.239
30.250	27.018	0.239
30.260	26.858	0.239
30.270	26.676	0.239
30.280	26.473	0.239
30.290	26.244	0.239
30.300	25.968	0.239
30.310	25.747	0.239
30.320	25.458	0.239
30.330	25.096	0.239
30.340	24.790	0.239
30.350	24.474	0.239
30.360	24.147	0.239
30.370	23.797	0.239
30.380	23.456	0.239
30.390	23.081	0.239
30.400	22.693	0.239
30.410	22.146	0.239
30.420	21.831	0.239
30.430	21.494	0.239
30.440	21.141	0.239
30.450	20.830	0.239
30.460	20.592	0.239
30.470	20.561	0.239
30.480	20.031	0.239
30.490	20.107	0.239
30.500	19.603	0.239
30.510	19.430	0.239
30.520	19.282	0.239
30.530	19.148	0.239
30.540	19.104	0.239
30.550	19.258	0.239
30.560	19.020	0.239
30.570	18.950	0.239
30.580	18.996	0.239
30.590	19.081	0.239
30.600	19.170	0.239
30.610	19.251	0.239
30.620	19.426	0.239
30.630	19.868	0.239
30.640	20.004	0.239
30.650	20.054	0.239
30.660	20.264	0.239
30.670	20.792	0.239
30.680	20.816	0.239
30.690	21.348	0.239
30.700	21.704	0.239
30.710	21.961	0.239
30.720	22.132	0.239
30.730	22.659	0.239
30.740	23.023	0.239
30.750	23.414	0.239
30.760	23.748	0.239
30.770	24.086	0.239
30.780	24.429	0.239
30.790	24.759	0.239
30.800	25.063	0.239
30.810	25.367	0.239
30.820	25.671	0.239
30.830	25.971	0.239
30.840	26.224	0.239
30.850	26.399	0.239
30.860	26.651	0.239
30.870	26.826	0.239
30.880	26.958	0.239
30.890	27.078	0.239
30.900	27.179	0.239
30.910	27.265	0.239
30.920	27.302	0.239
30.930	27.266	0.239
30.940	27.248	0.239
30.950	27.238	0.239
30.960	27.160	0.239
30.970	26.991	0.239
30.980	26.930	0.239
30.990	26.748	0.239
31.000	26.575	0.239
31.010	26.363	0.239
31.020	26.095	0.239
31.030	25.883	0.239
31.040	25.603	0.239
31.050	25.266	0.239
31.060	24.955	0.239
31.070	24.632	0.239
31.080	24.300	0.239
31.090	23.972	0.239
31.100	23.635	0.239
31.110	23.281	0.239
31.120	22.945	0.239
31.130	22.604	0.239
31.140	22.285	0.239
31.150	21.957	0.239
31.160	21.625	0.239
31.170	21.267	0.239
31.180	20.767	0.239
31.190	20.736	0.239
31.200	20.253	0.239
31.210	20.016	0.239
31.220	19.739	0.239
31.230	19.820	0.239
31.240	19.453	0.239
31.250	19.559	0.239
31.260	19.129	0.239
31.270	19.110	0.239
31.280	19.070	0.239
31.290	19.108	0.239
31.300	19.055	0.239
31.310	19.101	0.239
31.320	19.126	0.239
31.330	19.249	0.239
31.340	19.467	0.239
31.350	19.840	0.239
31.360	19.766	0.239
31.370	20.238	0.239
31.380	20.142	0.239
31.390	20.459	0.239
31.400	20.969	0.239
31.410	20.981	0.239
31.420	21.273	0.239
31.430	21.878	0.239
31.440	22.207	0.239
31.450	22.524	0.239
31.460	22.872	0.239
31.470	23.214	0.239
31.480	23.566	0.239
31.490	23.913	0.239
31.500	24.255	0.239
31.510	24.590	0.239
31.520	24.911	0.239
31.530	25.202	0.239
31.540	25.515	0.239
31.550	25.793	0.239
31.560	26.029	0.239
31.570	26.255	0.239
31.580	26.486	0.239
31.590	26.687	0.239
31.600	26.850	0.239
31.610	26.990	0.239
31.620	27.092	0.239
31.630	27.185	0.239
31.640	27.245	0.239
31.650	27.282	0.239
31.660	27.294	0.239
31.670	27.259	0.239
31.680	27.197	0.239
31.690	27.093	0.239
31.700	26.954	0.239
31.710	26.837	0.239
31.720	26.663	0.239
31.730	26.439	0.239
31.740	26.253	0.239
31.750	25.964	0.239
31.760	25.717	0.239
31.770	25.471	0.239
31.780	25.173	0.239
31.790	24.820	0.239
31.800	24.492	0.239
31.810	24.155	0.239
31.820	23.806	0.239
31.830	23.456	0.239
31.840	23.116	0.239
31.850	22.753	0.239
31.860	22.421	0.239
31.870	22.003	0.239
31.880	21.572	0.239
31.890	21.240	0.239
31.900	21.131	0.239
31.910	20.907	0.239
31.920	20.381	0.239
31.930	20.152	0.239
31.940	19.944	0.239
31.950	19.784	0.239
31.960	19.547	0.239
31.970	19.382	0.239
31.980	19.290	0.239
31.990	19.178	0.239
32.000	19.103	0.239
32.010	19.085	0.239
32.020	19.105	0.239
32.030	19.130	0.239
32.040	19.154	0.239
32.050	19.205	0.239
32.060	19.350	0.239
32.070	19.473	0.239
32.080	19.648	0.239
32.090	19.824	0.239
32.100	20.059	0.239
32.110	20.299	0.239
32.120	20.800	0.239
32.130	20.825	0.239
32.140	21.258	0.239
32.150	21.700	0.239
32.160	21.995	0.239
32.170	22.153	0.239
32.180	22.642	0.239
32.190	22.985	0.239
32.200	23.358	0.239
32.210	23.705	0.239
32.220	24.035	0.239
32.230	24.360	0.239
32.240	24.686	0.239
32.250	25.012	0.239
32.260	25.316	0.239
32.270	25.637	0.239
32.280	25.894	0.239
32.290	26.112	0.239
32.300	26.317	0.239
32.310	26.570	0.239
32.320	26.732	0.239
32.330	26.899	0.239
32.340	27.031	0.239
32.350	26.905	0.239
32.360	27.196	0.239
32.370	27.234	0.239
32.380	27.245	0.239
32.390	27.227	0.239
32.400	27.179	0.239
32.410	26.898	0.239
32.420	26.961	0.239
32.430	26.887	0.239
32.440	26.727	0.239
32.450	26.540	0.239
32.460	26.333	0.239
32.470	26.070	0.239
32.480	25.862	0.239
32.490	25.556	0.239
32.500	25.258	0.239
32.510	25.008	0.239
32.520	24.688	0.239
32.530	24.343	0.239
32.540	24.002	0.239
32.550	23.653	0.239
32.560	23.213	0.239
32.570	22.731	0.239
32.580	22.385	0.239
32.590	22.066	0.239
32.600	21.927	0.239
32.610	21.629	0.239
32.620	21.349	0.239
32.630	20.789	0.239
32.640	20.530	0.239
32.650	20.576	0.239
32.660	20.054	0.239
32.670	20.075	0.239
32.680	19.923	0.239
32.690	19.815	0.239
32.700	19.435	0.239
32.710	19.546	0.239
32.720	19.141	0.239
32.730	19.152	0.239
32.740	19.211	0.239
32.750	19.163	0.239
32.760	19.415	0.239
32.770	19.543	0.239
32.780	19.344	0.239
32.790	19.464	0.239
32.800	19.565	0.239
32.810	19.809	0.239
32.820	19.950	0.239
32.830	20.254	0.239
32.840	20.722	0.239
32.850	20.738	0.239
32.860	21.274	0.239
32.870	21.548	0.239
32.880	21.878	0.239
32.890	22.229	0.239
32.900	22.555	0.239
32.910	22.893	0.239
32.920	23.219	0.239
32.930	23.562	0.239
32.940	23.905	0.239
32.950	24.239	0.239
32.960	24.564	0.239
32.970	24.877	0.239
32.980	25.181	0.239
32.990	25.447	0.239
33.000	25.703	0.239
33.010	25.964	0.239
33.020	26.234	0.239
33.030	26.427	0.239
33.040	26.597	0.239
33.050	26.789	0.239
33.060	26.930	0.239
33.070	26.830	0.239
33.080	27.087	0.239
33.090	27.163	0.239
33.100	27.201	0.239
33.110	27.213	0.239
33.120	27.177	0.239
33.130	27.060	0.239
33.140	27.011	0.239
33.150	26.907	0.239
33.160	26.751	0.239
33.170	26.586	0.239
33.180	26.409	0.239
33.190	26.154	0.239
33.200	25.951	0.239
33.210	25.662	0.239
33.220	25.385	0.239
33.230	25.097	0.239
33.240	24.811	0.239
33.250	24.501	0.239
33.260	24.169	0.239
33.270	23.819	0.239
33.280	23.474	0.239
33.290	23.142	0.239
33.300	22.788	0.239
33.310	22.447	0.239
33.320	22.141	0.239
33.330	21.826	0.239
33.340	21.524	0.239
33.350	21.256	0.239
33.360	20.945	0.239
33.370	20.463	0.239
33.380	20.444	0.239
33.390	19.992	0.239
33.400	19.776	0.239
33.410	19.624	0.239
33.420	19.464	0.239
33.430	19.351	0.239
33.440	19.255	0.239
33.450	19.211	0.239
33.460	19.180	0.239
33.470	19.135	0.239
33.480	19.147	0.239
33.490	19.236	0.239
33.500	19.558	0.239
33.510	19.428	0.239
33.520	19.650	0.239
33.530	19.752	0.239
33.540	20.194	0.239
33.550	20.373	0.239
33.560	20.411	0.239
33.570	20.599	0.239
33.580	21.122	0.239
33.590	21.177	0.239
33.600	21.438	0.239
33.610	21.987	0.239
33.620	22.304	0.239
33.630	22.638	0.239
33.640	22.792	0.239
33.650	23.152	0.239
33.660	23.632	0.239
33.670	23.962	0.239
33.680	24.296	0.239
33.690	24.630	0.239
33.700	24.978	0.239
33.710	25.286	0.239
33.720	25.564	0.239
33.730	25.821	0.239
33.740	26.052	0.239
33.750	26.236	0.239
33.760	26.415	0.239
33.770	26.642	0.239
33.780	26.568	0.239
33.790	26.911	0.239
33.800	26.789	0.239
33.810	27.076	0.239
33.820	27.092	0.239
33.830	26.932	0.239
33.840	27.111	0.239
33.850	27.059	0.239
33.860	26.976	0.239
33.870	26.893	0.239
33.880	26.789	0.239
33.890	26.637	0.239
33.900	26.442	0.239
33.910	26.269	0.239
33.920	26.006	0.239
33.930	25.794	0.239
33.940	25.543	0.239
33.950	25.241	0.239
33.960	24.982	0.239
33.970	24.676	0.239
33.980	24.348	0.239
33.990	23.968	0.239
34.000	23.641	0.239
34.010	23.300	0.239
34.020	22.976	0.239
34.030	22.652	0.239
34.040	22.342	0.239
34.050	22.010	0.239
34.060	21.497	0.239
34.070	21.165	0.239
34.080	20.897	0.239
34.090	20.895	0.239
34.100	20.366	0.239
34.110	20.446	0.239
34.120	19.942	0.239
34.130	19.747	0.239
34.140	19.604	0.239
34.150	19.453	0.239
34.160	19.353	0.239
34.170	19.540	0.239
34.180	19.191	0.239
34.190	19.212	0.239
34.200	19.516	0.239
34.210	19.549	0.239
34.220	19.574	0.239
34.230	19.418	0.239
34.240	19.782	0.239
34.250	19.678	0.239
34.260	19.840	0.239
34.270	20.032	0.239
34.280	20.272	0.239
34.290	20.752	0.239
34.300	20.747	0.239
34.310	21.309	0.239
34.320	21.557	0.239
34.330	21.887	0.239
34.340	22.152	0.239
34.350	22.478	0.239
34.360	22.821	0.239
34.370	23.163	0.239
34.380	23.476	0.239
34.390	23.797	0.239
34.400	24.110	0.239
34.410	24.418	0.239
34.420	24.735	0.239
34.430	25.027	0.239
34.440	25.331	0.239
34.450	25.639	0.239
34.460	25.904	0.239
34.470	26.089	0.239
34.480	26.319	0.239
34.490	26.520	0.239
34.500	26.652	0.239
34.510	26.802	0.239
34.520	26.917	0.239
34.530	26.958	0.239
34.540	27.030	0.239
34.550	27.098	0.239
34.560	27.071	0.239
34.570	27.074	0.239
34.580	27.026	0.239
34.590	26.943	0.239
34.600	26.830	0.239
34.610	26.648	0.239
34.620	26.535	0.239
34.630	26.341	0.239
34.640	26.107	0.239
34.650	25.917	0.239
34.660	25.628	0.239
34.670	25.356	0.239
34.680	25.088	0.239
34.690	24.829	0.239
34.700	24.518	0.239
34.710	24.173	0.239
34.720	23.837	0.239
34.730	23.505	0.239
34.740	23.177	0.239
34.750	22.862	0.239
34.760	22.564	0.239
