#Motion Sensor Data File Sep 25, 2017 5:44 PM
#Time (s)	Velocity (cm/s)
#0.000	NaN
3.700	23.091
3.710	-8.299
3.720	29.541
3.730	-46.956
3.740	42.011
3.750	8.901
3.760	-7.826
3.770	57.491
3.780	63.081
3.790	30.831
3.800	31.691
3.810	45.451
3.820	74.691
3.830	18.834
3.840	45.881
3.850	78.561
3.860	57.061
3.870	35.991
3.880	67.811
3.890	55.341
3.900	56.631
3.910	58.351
3.920	48.461
3.930	57.534
3.940	49.321
3.950	49.321
3.960	44.591
3.970	45.021
3.980	17.501
3.990	61.791
4.000	35.604
4.010	30.831
4.020	26.531
4.030	22.661
4.040	17.931
4.050	13.244
4.060	8.471
4.070	3.741
4.080	-0.946
4.090	-5.719
4.100	-12.599
4.110	-12.126
4.120	-20.339
4.130	-23.349
4.140	-28.466
4.150	-31.949
4.160	-34.486
4.170	-39.259
4.180	-43.946
4.190	-46.139
4.200	-43.086
4.210	-52.159
4.220	-47.429
4.230	-56.846
4.240	-56.846
4.250	-50.869
4.260	-58.996
4.270	-71.939
4.280	-29.756
4.290	-81.399
4.300	-28.896
4.310	-49.579
4.320	-70.176
4.330	-46.139
4.340	-43.516
4.350	-36.249
4.360	-35.819
4.370	-33.196
4.380	-28.509
4.390	-27.176
4.400	-17.329
4.410	-9.589
4.420	-16.856
4.430	-27.219
4.440	21.371
4.450	3.784
4.460	-14.319
4.470	42.871
4.480	18.361
4.490	21.844
4.500	24.811
4.510	32.121
4.520	30.401
4.530	43.731
4.540	39.044
4.550	47.601
4.560	44.591
4.570	48.891
4.580	76.411
4.590	25.241
4.600	78.131
4.610	56.631
4.620	54.911
4.630	57.964
4.640	53.621
4.650	48.891
4.660	55.771
4.670	45.881
4.680	51.041
4.690	44.161
4.700	39.431
4.710	41.194
4.720	35.991
4.730	32.121
4.740	28.251
4.750	23.951
4.760	19.264
4.770	15.351
4.780	11.911
4.790	5.891
4.800	1.204
4.810	-3.139
4.820	-7.869
4.830	-12.126
4.840	-16.469
4.850	-21.199
4.860	-24.596
4.870	-29.369
4.880	-32.766
4.890	-34.959
4.900	-39.646
4.910	-43.129
4.920	-45.666
4.930	-46.569
4.940	-53.019
4.950	-49.966
4.960	-51.729
4.970	-52.546
4.980	-52.589
4.990	-54.266
5.000	-56.889
5.010	-49.106
5.020	-71.466
5.030	-34.529
5.040	-62.436
5.050	-28.509
5.060	-46.999
5.070	-62.436
5.080	-10.449
5.090	-59.856
5.100	-30.229
5.110	-61.146
5.120	16.641
5.130	-19.479
5.140	-15.136
5.150	22.231
5.160	-67.596
5.170	-22.059
5.180	38.141
5.190	11.481
5.200	13.674
5.210	48.461
5.220	24.811
5.230	-0.559
5.240	57.061
5.250	38.614
5.260	67.381
5.270	16.641
5.280	66.091
5.290	19.651
5.300	72.541
5.310	53.621
5.320	50.611
5.330	52.804
5.340	56.201
5.350	52.331
5.360	54.051
5.370	51.471
5.380	55.771
5.390	49.321
5.400	48.031
5.410	45.881
5.420	37.324
5.430	45.451
5.440	36.421
5.450	32.551
5.460	29.541
5.470	25.284
5.480	20.941
5.490	17.501
5.500	12.771
5.510	8.944
5.520	4.601
5.530	-0.129
5.540	-4.429
5.550	-8.686
5.560	-12.169
5.570	-17.286
5.580	-20.339
5.590	-25.929
5.600	-30.186
5.610	-33.669
5.620	-37.066
5.630	-42.269
5.640	-41.796
5.650	-46.139
5.660	-50.439
5.670	-45.236
5.680	-55.599
5.690	-50.826
5.700	-50.869
5.710	-57.276
5.720	-49.579
5.730	-65.016
5.740	-37.109
5.750	-74.906
5.760	-51.256
5.770	-47.429
5.780	-41.409
5.790	-37.496
5.800	-46.569
5.810	-36.636
5.820	-29.369
5.830	-27.176
5.840	-21.199
5.850	-42.269
5.860	-20.726
5.870	15.351
5.880	-4.429
5.890	0.344
5.900	0.731
5.910	11.481
5.920	-26.316
5.930	20.081
5.940	55.341
5.950	-13.029
5.960	64.801
5.970	33.454
5.980	35.991
5.990	34.701
6.000	74.261
6.010	17.501
6.020	71.251
6.030	27.434
6.040	46.741
6.050	78.561
6.060	55.771
6.070	42.871
6.080	62.221
6.090	47.171
6.100	55.771
6.110	45.021
6.120	52.804
6.130	40.291
6.140	49.321
6.150	20.941
6.160	58.351
6.170	34.701
6.180	32.164
6.190	28.251
6.200	24.811
6.210	20.511
6.220	16.641
6.230	13.244
6.240	7.611
6.250	3.311
6.260	-1.376
6.270	-6.149
6.280	-10.879
6.290	-15.136
6.300	-19.479
6.310	-23.779
6.320	-28.036
6.330	-31.519
6.340	-33.626
6.350	-37.969
6.360	-41.366
6.370	-43.129
6.380	-44.419
6.390	-49.106
6.400	-52.589
6.410	-45.236
6.420	-58.179
6.430	-46.526
6.440	-57.319
6.450	-52.116
6.460	-44.419
6.470	-80.066
6.480	-46.139
6.490	-52.546
6.500	-25.929
6.510	-54.696
6.520	-50.869
6.530	-36.636
6.540	-27.219
6.550	-28.896
6.560	-25.929
6.570	-20.769
6.580	-46.096
6.590	-15.609
6.600	13.631
6.610	1.634
6.620	-0.559
6.630	4.601
6.640	3.784
6.650	18.791
6.660	13.201
6.670	24.381
6.680	26.574
6.690	31.691
6.700	33.841
6.710	35.991
6.720	53.191
6.730	30.831
6.740	53.664
6.750	45.021
6.760	45.021
6.770	75.121
6.780	33.841
6.790	68.241
6.800	53.191
6.810	52.331
6.820	54.911
6.830	45.924
6.840	53.621
6.850	43.731
6.860	45.451
6.870	44.161
6.880	40.291
6.890	37.711
6.900	33.454
6.910	32.551
6.920	25.241
6.930	21.801
6.940	20.124
6.950	13.631
6.960	10.621
6.970	5.461
6.980	0.774
6.990	-3.569
7.000	-9.589
7.010	-9.546
7.020	-16.899
7.030	-21.199
7.040	-24.596
7.050	-28.509
7.060	-32.336
7.070	-35.389
7.080	-41.366
7.090	-40.549
7.100	-40.979
7.110	-45.236
7.120	-50.009
7.130	-52.546
7.140	-46.139
7.150	-57.706
7.160	-47.859
7.170	-54.696
7.180	-46.569
7.190	-74.476
7.200	-31.949
7.210	-72.756
7.220	-44.419
7.230	-35.346
7.240	-51.299
7.250	-31.476
7.260	-32.809
7.270	-36.206
7.280	-26.789
7.290	-31.949
7.300	-18.576
7.310	-13.889
7.320	-1.849
7.330	-77.056
7.340	59.641
7.350	-21.156
7.360	34.271
7.370	-28.079
7.380	46.311
7.390	13.244
7.400	46.741
7.410	-19.909
7.420	61.791
7.430	35.991
7.440	42.441
7.450	69.531
7.460	42.484
7.470	42.441
7.480	17.931
7.490	75.981
7.500	57.061
7.510	43.301
7.520	58.351
7.530	47.644
7.540	57.061
7.550	44.161
7.560	56.631
7.570	42.011
7.580	50.181
7.590	39.861
7.600	43.731
7.610	39.044
7.620	35.561
7.630	31.261
7.640	29.111
7.650	24.811
7.660	19.694
7.670	18.791
7.680	10.621
7.690	8.901
7.700	3.354
7.710	-0.989
7.720	-6.149
7.730	-9.546
7.740	-13.889
7.750	-18.619
7.760	-22.446
7.770	-26.359
7.780	-31.046
7.790	-34.099
7.800	-34.099
7.810	-38.356
7.820	-46.999
7.830	-43.946
7.840	-41.409
7.850	-52.976
7.860	-45.279
7.870	-56.416
7.880	-49.579
7.890	-53.836
7.900	-49.149
7.910	-50.826
7.920	-50.009
7.930	-44.806
7.940	-66.779
7.950	-47.816
7.960	-47.429
7.970	-35.776
7.980	-37.969
7.990	-35.776
8.000	-29.369
8.010	-24.209
8.020	-25.886
8.030	-17.759
8.040	-12.986
8.050	-32.809
8.060	22.661
8.070	-5.289
8.080	3.354
8.090	14.061
8.100	5.891
8.110	22.274
8.120	23.521
8.130	24.381
8.140	24.381
8.150	32.551
8.160	39.904
8.170	37.281
8.180	45.451
8.190	40.721
8.200	69.101
8.210	23.091
8.220	76.841
8.230	46.311
8.240	55.814
8.250	48.031
8.260	57.061
8.270	43.301
8.280	56.201
8.290	42.871
8.300	51.471
8.310	40.291
8.320	44.634
8.330	39.861
8.340	36.421
8.350	33.411
8.360	29.971
8.370	26.574
8.380	22.231
8.390	18.361
8.400	14.491
8.410	10.664
8.420	5.891
8.430	1.161
8.440	-2.709
8.450	-6.106
8.460	-11.739
8.470	-15.609
8.480	-19.866
8.490	-23.779
8.500	-27.606
8.510	-31.519
8.520	-34.056
8.530	-37.539
8.540	-40.119
8.550	-45.666
8.560	-43.129
8.570	-43.086
8.580	-48.289
8.590	-52.546
8.600	-44.849
8.610	-58.566
8.620	-41.839
8.630	-73.186
8.640	-29.369
8.650	-68.886
8.660	-52.159
8.670	-48.246
8.680	-13.459
8.690	-71.036
8.700	-3.139
8.710	-62.866
8.720	-36.249
8.730	-25.929
8.740	-27.176
8.750	-15.179
8.760	-7.869
8.770	-20.726
8.780	-40.549
8.790	27.004
8.800	-30.229
8.810	11.051
8.820	39.861
8.830	-18.576
8.840	25.241
8.850	15.781
8.860	53.621
8.870	33.884
8.880	33.841
8.890	35.561
8.900	52.761
8.910	56.201
8.920	27.391
8.930	60.931
8.940	51.471
8.950	17.974
8.960	77.271
8.970	46.311
8.980	57.491
8.990	42.441
9.000	56.201
9.010	43.301
9.020	51.944
9.030	41.151
9.040	41.151
9.050	44.161
9.060	37.711
9.070	34.701
9.080	31.734
9.090	27.821
9.100	24.381
9.110	20.511
9.120	17.931
9.130	12.384
9.140	8.041
9.150	3.741
9.160	-1.806
9.170	-4.859
9.180	-9.159
9.190	-12.556
9.200	-17.329
9.210	-20.769
9.220	-23.306
9.230	-26.789
9.240	-31.906
9.250	-34.529
9.260	-37.539
9.270	-42.656
9.280	-38.829
9.290	-44.376
9.300	-50.869
9.310	-43.516
9.320	-53.019
9.330	-49.106
9.340	-46.999
9.350	-53.406
9.360	-68.929
9.370	-27.176
9.380	-53.879
9.390	-37.496
9.400	-68.929
9.410	-42.226
9.420	-37.109
9.430	-32.809
9.440	-34.486
9.450	-28.939
9.460	-24.166
9.470	-26.359
9.480	-23.736
9.490	-10.879
9.500	-8.299
9.510	-18.146
9.520	12.771
9.530	1.591
9.540	8.041
9.550	-17.716
9.560	41.581
9.570	22.661
9.580	22.661
9.590	25.284
9.600	60.501
9.610	32.121
9.620	15.351
9.630	34.701
9.640	41.151
9.650	76.841
9.660	34.744
9.670	39.001
9.680	62.651
9.690	51.041
9.700	46.311
9.710	54.051
9.720	45.021
9.730	49.364
9.740	48.031
9.750	44.161
9.760	42.871
9.770	39.431
9.780	41.581
9.790	37.281
9.800	33.024
9.810	29.971
9.820	26.531
9.830	22.661
9.840	18.834
9.850	14.921
9.860	10.621
9.870	6.321
9.880	2.494
9.890	-1.419
9.900	-4.859
9.910	-9.976
9.920	-14.319
9.930	-18.189
9.940	-22.016
9.950	-25.499
9.960	-28.896
9.970	-33.669
9.980	-34.959
9.990	-38.356
10.000	-39.689
10.010	-40.076
10.020	-45.279
10.030	-43.946
10.040	-56.459
10.050	-40.506
10.060	-56.029
10.070	-46.956
10.080	-46.139
10.090	-55.556
10.100	-39.259
10.110	-71.896
10.120	-46.999
10.130	-31.906
10.140	-49.579
10.150	-29.799
10.160	-39.646
10.170	-34.529
10.180	-26.746
10.190	-8.299
10.200	-36.206
10.210	-22.059
10.220	-7.869
10.230	-8.256
10.240	-7.869
10.250	2.021
10.260	3.311
10.270	-14.276
10.280	40.291
10.290	14.061
10.300	20.554
10.310	23.521
10.320	31.691
10.330	29.971
10.340	34.701
10.350	39.431
10.360	64.414
10.370	27.821
10.380	35.131
10.390	72.111
10.400	42.871
10.410	48.891
10.420	48.461
10.430	49.751
10.440	50.654
10.450	45.881
10.460	54.051
10.470	42.011
10.480	48.031
10.490	41.151
10.500	38.571
10.510	33.454
10.520	35.561
10.530	35.561
10.540	28.251
10.550	24.381
10.560	20.984
10.570	17.501
10.580	13.201
10.590	8.471
10.600	6.364
10.610	0.731
10.620	-3.139
10.630	-8.256
10.640	-10.449
10.650	-15.609
10.660	-19.436
10.670	-22.919
10.680	-25.886
10.690	-30.229
10.700	-33.669
10.710	-37.066
10.720	-41.409
10.730	-42.226
10.740	-41.839
10.750	-40.506
10.760	-51.729
10.770	-44.376
10.780	-52.589
10.790	-45.666
10.800	-49.579
10.810	-42.656
10.820	-74.519
10.830	-21.156
10.840	-50.439
10.850	-68.456
10.860	-10.879
10.870	-69.359
10.880	-34.056
10.890	-31.089
10.900	-29.756
10.910	-28.939
10.920	7.181
10.930	-43.086
10.940	-18.619
10.950	-3.096
10.960	-74.949
10.970	31.691
10.980	31.304
10.990	6.751
11.000	-82.259
11.010	75.981
11.020	19.264
11.030	54.911
11.040	23.521
11.050	-1.849
11.060	56.201
11.070	66.564
11.080	17.501
11.090	43.301
11.100	68.241
11.110	15.781
11.120	70.391
11.130	47.171
11.140	47.214
11.150	51.471
11.160	45.451
11.170	51.901
11.180	41.151
11.190	51.901
11.200	42.871
11.210	41.151
11.220	44.634
11.230	34.701
11.240	38.141
11.250	35.131
11.260	29.541
11.270	26.144
11.280	23.521
11.290	16.641
11.300	17.931
11.310	11.094
11.320	6.321
11.330	2.881
11.340	-1.849
11.350	-3.526
11.360	-7.869
11.370	-13.459
11.380	-17.286
11.390	-20.769
11.400	-25.886
11.410	-30.659
11.420	-34.959
11.430	-29.326
11.440	-34.529
11.450	-39.646
11.460	-41.839
11.470	-46.956
11.480	-42.699
11.490	-47.386
11.500	-49.579
11.510	-49.106
11.520	-49.579
11.530	-46.096
11.540	-49.579
11.550	-43.086
11.560	-70.649
11.570	-39.216
11.580	-42.699
11.590	-41.839
11.600	-37.066
11.610	-33.669
11.620	-30.186
11.630	-18.619
11.640	-36.206
11.650	-22.489
11.660	-14.319
11.670	-13.416
11.680	-13.029
11.690	4.601
11.700	-0.086
11.710	3.311
11.720	7.181
11.730	10.621
11.740	13.674
11.750	23.091
11.760	27.391
11.770	18.361
11.780	36.464
11.790	59.211
11.800	36.421
11.810	38.141
11.820	19.651
11.830	66.521
11.840	43.731
11.850	45.494
11.860	46.741
11.870	46.311
11.880	47.601
11.890	53.621
11.900	40.291
11.910	53.191
11.920	41.624
11.930	43.731
11.940	45.881
11.950	39.431
11.960	33.841
11.970	35.991
11.980	31.304
11.990	26.531
12.000	24.811
12.010	20.941
12.020	17.501
12.030	14.104
12.040	9.331
12.050	5.461
12.060	1.204
12.070	-3.139
12.080	-7.439
12.090	-10.836
12.100	-15.179
12.110	-19.049
12.120	-22.446
12.130	-25.069
12.140	-29.369
12.150	-32.336
12.160	-34.959
12.170	-37.926
12.180	-38.399
12.190	-45.236
12.200	-46.999
12.210	-38.356
12.220	-45.279
12.230	-54.696
12.240	-38.829
12.250	-48.676
12.260	-74.949
12.270	-21.199
12.280	-72.326
12.290	-12.169
12.300	-71.466
12.310	-16.899
12.320	-64.156
12.330	-34.959
12.340	-32.766
12.350	-31.089
12.360	-49.966
12.370	6.751
12.380	-24.639
12.390	-8.256
12.400	-14.319
12.410	-34.529
12.420	27.004
12.430	-27.219
12.440	26.531
12.450	13.244
12.460	-7.869
12.470	46.741
12.480	15.351
12.490	25.671
12.500	30.014
12.510	32.121
12.520	32.551
12.530	36.851
12.540	38.141
12.550	48.504
12.560	63.941
12.570	20.941
12.580	73.401
12.590	40.291
12.600	51.901
12.610	46.311
12.620	43.731
12.630	51.944
12.640	40.291
12.650	45.021
12.660	43.301
12.670	39.861
12.680	37.711
12.690	32.594
12.700	32.121
12.710	32.551
12.720	27.391
12.730	22.661
12.740	18.834
12.750	15.351
12.760	11.051
12.770	7.611
12.780	3.354
12.790	-0.989
12.800	-3.569
12.810	-8.686
12.820	-12.599
12.830	-16.469
12.840	-19.866
12.850	-23.349
12.860	-26.746
12.870	-28.079
12.880	-32.809
12.890	-35.346
12.900	-40.119
12.910	-39.646
12.920	-44.849
12.930	-37.926
12.940	-45.279
12.950	-51.686
12.960	-43.559
12.970	-47.386
12.980	-49.149
12.990	-43.559
13.000	-49.106
13.010	-38.399
13.020	-66.736
13.030	-17.329
13.040	-64.586
13.050	-37.539
13.060	-33.196
13.070	-31.949
13.080	-28.036
13.090	-18.619
13.100	-21.199
13.110	-22.016
13.120	-11.739
13.130	-5.289
13.140	-4.816
13.150	-0.559
13.160	2.451
13.170	6.794
13.180	1.591
13.190	29.111
13.200	11.911
13.210	25.714
13.220	-5.289
13.230	88.021
13.240	0.301
13.250	32.121
13.260	39.904
13.270	65.661
13.280	30.401
13.290	29.541
13.300	72.541
13.310	47.601
13.320	42.871
13.330	49.321
13.340	45.924
13.350	45.021
13.360	46.311
13.370	38.571
13.380	45.021
13.390	42.441
13.400	38.614
13.410	12.341
13.420	35.561
13.430	33.411
13.440	34.271
13.450	37.324
13.460	20.941
13.470	18.361
13.480	13.631
13.490	9.374
13.500	5.891
13.510	2.021
13.520	-1.849
13.530	-5.676
13.540	-9.589
13.550	-13.459
13.560	-16.856
13.570	-20.769
13.580	-22.876
13.590	-27.649
13.600	-31.949
13.610	-34.486
13.620	-34.529
13.630	-37.926
13.640	-41.409
13.650	-42.656
13.660	-47.429
13.670	-37.496
13.680	-46.999
13.690	-50.396
13.700	-38.829
13.710	-52.159
13.720	-67.166
13.730	-18.619
13.740	-70.606
13.750	-17.329
13.760	-62.866
13.770	-40.979
13.780	-30.616
13.790	-29.369
13.800	-31.476
13.810	-31.949
13.820	-16.469
13.830	-18.576
13.840	-39.689
13.850	8.514
13.860	-3.999
13.870	-3.139
13.880	-2.279
13.890	2.924
13.900	5.031
13.910	19.221
13.920	14.964
13.930	18.361
13.940	22.661
13.950	30.401
13.960	29.541
13.970	31.734
13.980	35.131
13.990	37.281
14.000	39.431
14.010	69.961
14.020	36.421
14.030	27.004
14.040	69.961
14.050	41.151
14.060	49.321
14.070	46.311
14.080	42.011
14.090	51.041
14.100	39.431
14.110	41.624
14.120	41.151
14.130	39.431
14.140	34.701
14.150	32.551
14.160	28.251
14.170	24.424
14.180	25.671
14.190	19.651
14.200	14.491
14.210	12.384
14.220	7.611
14.230	5.031
14.240	0.774
14.250	-1.849
14.260	-7.439
14.270	-10.406
14.280	-14.749
14.290	-19.049
14.300	-21.586
14.310	-25.929
14.320	-28.509
14.330	-32.336
14.340	-32.809
14.350	-37.066
14.360	-37.539
14.370	-40.936
14.380	-46.999
14.390	-40.506
14.400	-48.719
14.410	-41.366
14.420	-48.719
14.430	-45.666
14.440	-40.979
14.450	-44.419
14.460	-73.616
14.470	-13.459
14.480	-66.736
14.490	-14.749
14.500	-62.006
14.510	-34.099
14.520	-34.056
14.530	-22.919
14.540	-23.349
14.550	-24.166
14.560	-13.029
14.570	-43.086
14.580	22.231
14.590	-40.119
14.600	23.134
14.610	3.741
14.620	-19.049
14.630	7.224
14.640	44.591
14.650	14.061
14.660	28.251
14.670	24.811
14.680	-6.966
14.690	95.761
14.700	26.531
14.710	36.421
14.720	41.151
14.730	15.351
14.740	37.324
14.750	76.411
14.760	38.141
14.770	42.871
14.780	45.881
14.790	50.611
14.800	44.161
14.810	44.591
14.820	47.644
14.830	38.141
14.840	39.431
14.850	41.581
14.860	36.421
14.870	33.411
14.880	30.874
14.890	26.531
14.900	24.811
14.910	22.661
14.920	17.974
14.930	13.631
14.940	10.621
14.950	6.321
