#Radioactive Decay Experiment 
#Sample Number	Number of Counts
1	1498
2	1332
3	1223
4	1140
5	1014
6	919
7	861
8	771
9	681
10	654
11	551
12	512
13	469
14	383
15	371
16	377
17	313
18	305
19	264
20	228
21	223
22	200
23	193
24	150
25	147
26	112
27	104
28	108
29	99
30	67
31	89
32	71
33	67
34	56
35	70
36	68
37	47
38	35
39	41
40	38
41	33
42	26
43	30
44	20
45	25
46	31
47	17
48	20
49	19
50	20
51	21
52	12
53	10
54	10
55	14
56	11
57	13
58	7
59	5
60	12
